pnl,nb_trades,roi,win_rate,drawdown,drawdown_pct,min_market_pnl,take_profit_market_pnl,trail_stop_market_pnl,trade_start_hour,trade_cutoff_hour,min_escape_time,max_trades_per_day,stop_echappee_threshold,start_echappee_threshold,top_n_threshold,trade_value_eur,trade_interval_minutes,max_pnl_timeout_minutes,max_trade_duration_minutes
701.3843213021755,111,6.318777669388969,61.111111111111114,125.0116548538208,17.82355993098431,42.0,118.0,41,09:30,12:30,61.0,3,1.2,1.9,1,100.0,150000,6000.0,120
671.2283651828766,111,6.047102389034924,59.25925925925925,128.61109670996666,19.160557476579,42.0,118.0,41,09:30,12:30,61.0,3,1.2,1.9,1,100.0,150000,6000.0,110
694.4419983997941,111,6.256234219817965,57.407407407407405,125.66289407014847,18.095520484030928,42.0,118.0,41,09:30,12:30,61.0,3,1.2,1.9,1,100.0,150000,6000.0,130
644.7253935039043,111,5.808336878413552,59.25925925925925,127.5009959936142,19.776015847721077,42.0,118.0,41,09:30,12:30,61.0,3,1.2,1.9,1,100.0,150000,6000.0,100
681.7694796398282,111,6.142067384142597,59.25925925925925,125.58718952536583,18.42077025679006,42.0,118.0,41,09:30,12:30,61.0,3,1.2,1.9,1,100.0,150000,6000.0,140
647.4851931333542,111,5.833199938138326,59.25925925925925,122.85829988121986,18.97468871630495,42.0,118.0,41,09:30,12:30,61.0,3,1.2,1.9,1,100.0,150000,6000.0,90
695.1589804664254,111,6.262693517715545,59.25925925925925,125.83419370651245,18.10149868481631,42.0,118.0,41,09:30,12:30,61.0,3,1.2,1.9,1,100.0,150000,6000.0,150
627.2525728046894,111,5.650924079321526,59.25925925925925,120.10579884052277,19.14791649295007,42.0,118.0,41,09:30,12:30,61.0,3,1.2,1.9,1,100.0,150000,6000.0,80
726.8985006287694,111,6.548635140799724,59.25925925925925,123.9322946369648,17.049463512411016,42.0,118.0,41,09:30,12:30,61.0,3,1.2,1.9,1,100.0,150000,6000.0,160
636.8542409539223,111,5.73742559417948,57.407407407407405,118.63989374041557,18.629049806233358,42.0,118.0,41,09:30,12:30,61.0,3,1.2,1.9,1,100.0,150000,6000.0,70
678.203460842371,111,6.109941088670009,61.111111111111114,116.52781689167023,17.18183754871074,42.0,118.0,41,09:30,12:30,61.0,3,1.2,1.9,1,100.0,150000,6000.0,60
626.5562455952168,111,5.644650861218169,59.25925925925925,108.52239668369293,17.32045565687382,42.0,118.0,41,09:30,12:30,61.0,3,1.2,1.9,1,100.0,150000,6000.0,50
652.0741478204727,111,5.874541872256511,61.111111111111114,101.90329372882843,15.627562305519305,42.0,118.0,41,09:30,12:30,61.0,3,1.2,1.9,1,100.0,150000,6000.0,40
615.8268051743507,111,5.547989235804962,64.81481481481481,102.10820996761322,16.58066993993623,42.0,118.0,41,09:30,12:30,61.0,3,1.2,1.9,1,100.0,150000,6000.0,30
701.3843213021755,111,6.318777669388969,61.111111111111114,125.0116548538208,17.82355993098431,42.0,118.0,41,09:30,12:30,61.0,3,1.2,1.9,1,100.0,150000,6000.0,120
671.2283651828766,111,6.047102389034924,59.25925925925925,128.61109670996666,19.160557476579,42.0,118.0,41,09:30,12:30,61.0,3,1.2,1.9,1,100.0,150000,6000.0,110
694.4419983997941,111,6.256234219817965,57.407407407407405,125.66289407014847,18.095520484030928,42.0,118.0,41,09:30,12:30,61.0,3,1.2,1.9,1,100.0,150000,6000.0,130
644.7253935039043,111,5.808336878413552,59.25925925925925,127.5009959936142,19.776015847721077,42.0,118.0,41,09:30,12:30,61.0,3,1.2,1.9,1,100.0,150000,6000.0,100
681.7694796398282,111,6.142067384142597,59.25925925925925,125.58718952536583,18.42077025679006,42.0,118.0,41,09:30,12:30,61.0,3,1.2,1.9,1,100.0,150000,6000.0,140
647.4851931333542,111,5.833199938138326,59.25925925925925,122.85829988121986,18.97468871630495,42.0,118.0,41,09:30,12:30,61.0,3,1.2,1.9,1,100.0,150000,6000.0,90
695.1589804664254,111,6.262693517715545,59.25925925925925,125.83419370651245,18.10149868481631,42.0,118.0,41,09:30,12:30,61.0,3,1.2,1.9,1,100.0,150000,6000.0,150
627.2525728046894,111,5.650924079321526,59.25925925925925,120.10579884052277,19.14791649295007,42.0,118.0,41,09:30,12:30,61.0,3,1.2,1.9,1,100.0,150000,6000.0,80
726.8985006287694,111,6.548635140799724,59.25925925925925,123.9322946369648,17.049463512411016,42.0,118.0,41,09:30,12:30,61.0,3,1.2,1.9,1,100.0,150000,6000.0,160
799.7353016212583,111,7.204822537128453,61.111111111111114,126.03269401192665,15.75930107829774,42.0,118.0,41,09:30,12:30,61.0,3,1.2,1.9,1,100.0,150000,6000.0,210
834.8503076508641,111,7.521173942800577,62.96296296296296,114.72459354996681,13.741935829524166,42.0,118.0,41,09:30,12:30,61.0,3,1.2,1.9,1,100.0,150000,6000.0,270
782.5948218181729,111,7.05040380016372,61.111111111111114,130.13520112633705,16.628681598480153,42.0,118.0,41,09:30,12:30,61.0,3,1.2,1.9,1,100.0,150000,6000.0,200
838.3514895401895,111,7.552716121983689,62.96296296296296,118.32000404596329,14.113412515180027,42.0,118.0,41,09:30,12:30,61.0,3,1.2,1.9,1,100.0,150000,6000.0,340
819.884273596108,111,7.386344807172144,61.111111111111114,111.56540015339851,13.60745702122809,42.0,118.0,41,09:30,12:30,61.0,3,1.2,1.9,1,100.0,150000,6000.0,260
835.7054867707193,111,7.528878259195669,62.96296296296296,118.32000404596329,14.15809826774837,42.0,118.0,41,09:30,12:30,61.0,3,1.2,1.9,1,100.0,150000,6000.0,420
