pnl,nb_trades,roi,win_rate,drawdown,drawdown_pct,min_market_pnl,take_profit_market_pnl,trail_stop_market_pnl,trade_start_hour,trade_cutoff_hour,min_escape_time,max_trades_per_day,stop_echappee_threshold,start_echappee_threshold,top_n_threshold,trade_value_eur,trade_interval_minutes,max_pnl_timeout_minutes,max_trade_duration_minutes,reinit_hour
857.2808239758015,110,7.79346203614365,62.96296296296296,131.4334917664528,15.331439604225041,42.0,118.0,41,09:30,12:30,61.0,3,1.2,1.9,1,100.0,150000,6000.0,274,09:00
857.2808239758015,110,7.79346203614365,62.96296296296296,131.4334917664528,15.331439604225041,42.0,118.0,41,09:30,12:30,61.0,3,1.2,1.9,1,100.0,150000,6000.0,274,09:00
-12.412399500608444,100,-0.12412399500608444,38.88888888888889,21.424419194459915,-172.6049761241548,20.0,40.0,20,14:00,18:00,61.0,3,1.2,1.9,1,100.0,150000,6000.0,274,09:00
7.819026410579681,100,0.07819026410579681,40.74074074074074,25.533287823200226,326.55328787036615,19.0,50.0,31,14:00,18:00,61.0,3,1.2,1.9,1,100.0,150000,6000.0,274,09:00
-95.32062689960003,100,-0.9532062689960002,37.03703703703704,108.20544998347759,-113.51735033955346,18.0,60.0,42,14:00,18:10,61.0,3,1.2,1.9,1,100.0,150000,6000.0,274,09:00
-70.34016643464565,98,-0.7177568003535271,38.88888888888889,92.59375812113285,-131.63710411058443,18.0,60.0,42,14:15,18:00,61.0,3,1.2,1.9,1,100.0,150000,6000.0,274,09:00
-70.34016643464565,98,-0.7177568003535271,38.88888888888889,92.59375812113285,-131.63710411058443,18.0,60.0,42,14:15,18:10,61.0,3,1.2,1.9,1,100.0,150000,6000.0,274,09:00
20.803277611732483,67,0.3104966807721266,48.148148148148145,12.393322765827179,59.57389502333845,18.0,61.0,33,15:30,19:00,61.0,3,1.2,1.9,1,100.0,150000,6000.0,274,09:00
-97.93756763637066,100,-0.9793756763637066,33.33333333333333,112.10166947543621,-114.46237861619659,17.0,72.0,36,14:00,18:00,61.0,3,1.2,1.9,1,100.0,150000,6000.0,274,09:00
-109.26774971187115,100,-1.0926774971187114,33.33333333333333,117.14805309474468,-107.2119206295116,17.0,72.0,37,14:00,18:00,61.0,3,1.2,1.9,1,100.0,150000,6000.0,274,09:00
-109.26774971187115,100,-1.0926774971187114,33.33333333333333,117.14805309474468,-107.2119206295116,17.0,72.0,37,14:00,18:10,61.0,3,1.2,1.9,1,100.0,150000,6000.0,274,09:00
-91.62047503888607,98,-0.9349028065192456,37.03703703703704,134.15614189207554,-146.4259400915966,17.0,72.0,37,14:15,18:00,61.0,3,1.2,1.9,1,100.0,150000,6000.0,274,09:00
-118.39885966479778,100,-1.1839885966479777,33.33333333333333,123.83056323230267,-104.5876316569963,17.0,72.0,38,14:00,18:00,61.0,3,1.2,1.9,1,100.0,150000,6000.0,274,09:00
-12.412399500608444,100,-0.12412399500608444,38.88888888888889,21.424419194459915,-172.6049761241548,20.0,40.0,20,14:00,18:00,61.0,3,1.2,1.9,1,100.0,150000,6000.0,274,09:00
7.819026410579681,100,0.07819026410579681,40.74074074074074,25.533287823200226,326.55328787036615,19.0,50.0,31,14:00,18:00,61.0,3,1.2,1.9,1,100.0,150000,6000.0,274,09:00
-70.34016643464565,98,-0.7177568003535271,38.88888888888889,92.59375812113285,-131.63710411058443,18.0,60.0,42,14:15,18:00,61.0,3,1.2,1.9,1,100.0,150000,6000.0,274,09:00
-61.39840146899223,80,-0.7674800183624029,33.33333333333333,88.52678164839745,-144.18417993032887,18.0,61.0,38,15:15,18:00,61.0,3,1.2,1.9,1,100.0,150000,6000.0,274,09:00
14.654111862182617,67,0.21871808749526295,48.148148148148145,15.062484920024872,102.78674723983873,18.0,61.0,38,15:30,18:00,61.0,3,1.2,1.9,1,100.0,150000,6000.0,274,09:00
-136.2659466713667,100,-1.362659466713667,33.33333333333333,134.91094855964184,-99.00562235479661,17.0,72.0,46,14:00,18:00,61.0,3,1.2,1.9,1,100.0,150000,6000.0,274,09:00
-111.62368465960026,98,-1.1390171904040842,37.03703703703704,148.60415355861187,-133.12958984626303,17.0,72.0,46,14:15,18:00,61.0,3,1.2,1.9,1,100.0,150000,6000.0,274,09:00
-74.15999525785446,95,-0.780631529030047,40.74074074074074,112.11866647005081,-151.18483500465982,17.0,72.0,46,14:30,18:00,61.0,3,1.2,1.9,1,100.0,150000,6000.0,274,09:00
-75.13999432325363,95,-0.7909473086658277,40.74074074074074,113.09866553544998,-150.5172665423655,17.0,72.0,47,14:30,18:00,61.0,3,1.2,1.9,1,100.0,150000,6000.0,274,09:00
-80.11724102497101,89,-0.9001937193816967,40.74074074074074,135.03823232650757,-168.5507770848209,17.0,72.0,47,14:45,18:00,61.0,3,1.2,1.9,1,100.0,150000,6000.0,274,09:00
-110.30033165216446,84,-1.3130991863352912,31.48148148148148,139.94179338216782,-126.8734112454699,17.0,72.0,47,15:00,18:00,61.0,3,1.2,1.9,1,100.0,150000,6000.0,274,09:00
28.853708297014236,80,0.36067135371267794,42.592592592592595,66.24368694424629,229.58465602530939,20.0,40.0,20,14:00,18:00,61.0,3,1.2,1.9,1,100.0,150000,6000.0,274,14:00
91.76779057085514,80,1.1470973821356893,38.88888888888889,98.01915583014488,106.81215622649538,19.0,50.0,31,14:00,18:00,61.0,3,1.2,1.9,1,100.0,150000,6000.0,274,14:00
45.90544594824314,79,0.5810815942815587,35.18518518518518,138.20905266702175,301.07332542384586,18.0,60.0,42,14:15,18:00,61.0,3,1.2,1.9,1,100.0,150000,6000.0,274,14:00
